"example-numCases";"example-numValues";"example-value";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"domainAnalyse-name";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
19;13;"N-N-N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
3;1;"NNN";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
1;1;"L. N-N-N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
2;1;"W";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
1;1;"N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
11;3;"N.N.N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
2;1;"W:N";"S_5";"Description";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
2;1;"N";"S_5";"Description";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
28;22;"N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
3;3;"N N N, N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
1;1;"N N N,N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
2;2;"N N N ,N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
4;4;"N N N N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
9;3;"W.W.W@W.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
15;3;"W.W@W.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
2;1;"W.W@.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
27;4;"D";"S_8";"directmailing";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
29;4;"D";"S_9";"directemail";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
27;4;"D";"S_10";"directtelephone";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
28;5;"LN";"S_11";"titleCode";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"null"
